Uniprot-ID	Biogrid-ID	Gene-Name	Ref-Seq	Protein-Name	Gene-ID	Old-Uniprot-IDs	Isoformes
P23615	33361;	SPT6	NP_011631	SPT6	YGR116W	D6VUP7;	0
P38163	32597;	SRO77	NP_009444	SRO77	YBL106C	D6VPP7;	0
Q12038	36210;	SRO7	NP_015357	SRO7	YPR032W	D6W442;	0
P32342	34013;	SRP21	NP_012800	SRP21	YKL122C	D6VXG8;	0
P36057	33983;	SRP102	NP_012768	SRPB	YKL154W	D6VX44;	0
P32916	32344;	SRP101	NP_010578	SRPR	YDR292C	D6VSS1;Q05553;	0
P40150	35627;	SSB2	NP_014190	SSB2	YNL209W	D6W0Y1;	0
Q04673	31278;	SSL1	NP_013105	SSL1	YLR005W	D6VY07;E9P8Y6;	0
P38871	36617;	SSP1	NP_012054	SSP1	YHR184W	D3DLD2;	0
Q08646	34633;	SSP2	NP_014885	SSP2	YOR242C	D6W2U4;Q96US5;	0
P47030	33673;	TAX4	NP_012452	TAX4	YJL083W	D6VWA0;	0
Q06510	36309;	TAZ1	NP_015466	TAZ1	YPR140W	D6W4D8;Q6B2J1;	0
Q08921	36002;	TCO89	NP_015145	TCO89	YPL180W	D6W3I8;	0
P38758	36436;	TDA3	NP_011873	TDA3	YHR009C	D3DKV4;	0
Q6B2U8	31765;	TDA8	NP_058136	TDA8	YAL064C-A	D6VPF3;	0
Q99190	32039;	TSC13	NP_010269	TECR	YDL015C	D6VRX4;	0
P42883	35509;	THI12	NP_014067	THI12	YNL332W	D6W0L5;	0
Q08224	34346;	THI20	NP_014586	THI20	YOL055C	D6W212;Q05664;Q6B2F0;	0
P32318	33392;	THI4	NP_011660	THI4	YGR144W	D6VUS4;	0
Q04083	32494;	THI74	NP_010726	THI74	YDR438W	D6VT65;	0
P35202	34540;	THI80	NP_014786	THI80	YOR143C	D6W2K1;	0
P41338	36150;	ERG10	NP_015297	THIL	YPL028W	D6W3Y5;	0
Q08231	34329;	THP1	NP_014569	THP1	YOL072W	D6W1Z5;	0
P16120	31033;	THR4	NP_009982	THRC	YCR053W	D6VR61;E9P943;	0
P36421	33437;	TYS1	NP_011701	SYYC	YGR185C	D6VUW8;	0
P41895	33438;	TFG1	NP_011702	T2FA	YGR186W	D6VUW9;	0
P47058	33725;	TAD2	NP_012499	TAD2	YJL035C	D6VWE8;	0
P48606	34654;	RBL2	NP_014908	TBCA	YOR265W	D6W2W5;	0
P40328	36106;	YTA6	NP_015251	TBP6	YPL074W	D6W3U2;P40324;Q02845;Q05773;	0
P38114	32849;	TBS1	NP_009708	TBS1	YBR150C	D6VQE5;E9PAD3;	0
P12612	32266;	TCP1	NP_010498	TCPA	YDR212W	D6VSJ6;	0
P42943	33645;	CCT7	NP_012424	TCPH	YJL111W	D6VW73;	0
P47079	33748;	CCT8	NP_012526	TCPQ	YJL008C	D6VWG8;	0
P38854	36593;	TDA11	NP_012029	TDA11	YHR159W	D3DLA8;	0
Q04545	35060;	TDA9	NP_013630	TDA9	YML081W	D6W0K2;Q03621;	0
P40533	34951;	TED1	NP_012225	TED1	YIL039W	D6VVP3;	0
P11747	35045;	TAF13	NP_013611	TAF13	YML098W	D6W0I7;	0
P09734	35081;	TUB3	NP_013582	TBA3	YML124C	D6W0G1;	0
P02557	31109;	TUB2	NP_116616	TBB	YFL037W	D6VTJ3;	0
Q02457	36053;	TBF1	NP_015197	TBF1	YPL128C	D6W3N9;	0
P53378	31480;	TUB4	NP_013313	TBG	YLR212C	D6VYL3;	0
P39079	32241;	CCT6	NP_010474	TCPZ	YDR188W	D6VSH1;	0
P40045	36814;	TDA2	NP_010994	TDA2	YER071C	D3DLX6;	0
Q06417	31686;	TDA5	NP_013530	TDA5	YLR426W	D6VZ62;	0
P53882	35655;	TDA7	NP_014223	TDA7	YNL176C	D6W109;	0
P47988	34720;	TEA1	NP_014982	TEA1	YOR337W	D6W332;	0
P54857	32111;	TGL2	NP_010343	TGL2	YDR058C	D6VS44;E9P8S6;	0
Q12043	34480;	TGL5	NP_014724	TGL5	YOR081C	D6W2E4;Q7LH13;	0
P25808	31147;	SPB4	NP_116654	SPB4	YFL002C	D6VTM9;	0
Q03954	32252;	SPC19	NP_010487	SPC19	YDR201W	D6VSI3;	0
P40014	36751;	SPC25	NP_010934	SPC25	YER018C	D3DLR6;	0
P36131	34168;	SPC34	NP_012963	SPC34	YKR037C	D6VXA0;	0
P38863	36606;	SPC97	NP_012042	SPC97	YHR172W	D3DLC1;	0
Q02521	34544;	SPP2	NP_014791	SPP2	YOR148C	D6W2K5;Q12353;	0
P32603	34585;	SPR1	NP_014833	SPR1	YOR190W	D6W2P6;	0
